iter	MultiClass
0	1.591722114
1	1.576427047
2	1.563453028
3	1.550259877
4	1.535218325
5	1.522393191
6	1.507960093
7	1.496593501
8	1.484631868
9	1.474598699
10	1.465294823
11	1.456188581
12	1.445844794
13	1.436531015
14	1.435926694
15	1.424566569
16	1.415792159
17	1.406455176
18	1.399760605
19	1.39308768
20	1.385405234
21	1.378442357
22	1.371116497
23	1.364058665
24	1.357190815
25	1.350100325
26	1.344672642
27	1.338175304
28	1.332256681
29	1.326331918
30	1.320540115
31	1.314151252
32	1.307525699
33	1.303411437
34	1.298028063
35	1.29326121
36	1.288967717
37	1.283183417
38	1.278135908
39	1.272344612
40	1.268196305
41	1.264341204
42	1.260354508
43	1.255748772
44	1.252563299
45	1.248379843
46	1.244882128
47	1.242053006
48	1.238424312
49	1.235675798
50	1.233054654
51	1.229131995
52	1.225757749
53	1.22169693
54	1.218213469
55	1.215414071
56	1.21247961
57	1.209319625
58	1.205643742
59	1.201450636
60	1.197365503
61	1.19441554
62	1.191622744
63	1.187992531
64	1.185503583
65	1.182429684
66	1.180099119
67	1.178212432
68	1.176595204
69	1.173452044
70	1.17130867
71	1.169116003
72	1.166859912
73	1.164670561
74	1.161648819
75	1.159415514
76	1.157304074
77	1.156151774
78	1.154396185
79	1.152382079
80	1.150044317
81	1.147705299
82	1.145216243
83	1.144078904
84	1.141370215
85	1.139984625
86	1.137700796
87	1.136277191
88	1.134048243
89	1.132258255
90	1.129970218
91	1.128579059
92	1.126894979
93	1.125572304
94	1.123774539
95	1.121825789
96	1.120026937
97	1.117933198
98	1.115886644
99	1.114534419
100	1.112939804
101	1.111466386
102	1.110127769
103	1.108416273
104	1.107093528
105	1.105734054
106	1.102998771
107	1.101101082
108	1.101091238
109	1.099322058
110	1.097986839
111	1.096203573
112	1.093549618
113	1.091686149
114	1.090648686
115	1.089207988
116	1.087832394
117	1.086621456
118	1.085411079
119	1.083712049
120	1.08250048
121	1.08117818
122	1.079885535
123	1.078165981
124	1.076730186
125	1.075427379
126	1.073540072
127	1.072103631
128	1.071309074
129	1.070601091
130	1.069440564
131	1.06816123
132	1.066966427
133	1.065197007
134	1.064086841
135	1.062100453
136	1.060994766
137	1.059165063
138	1.05777782
139	1.056126605
140	1.055404669
141	1.054268549
142	1.053187363
143	1.051652022
144	1.050148608
145	1.049311616
146	1.048082529
147	1.0464393
148	1.045205701
149	1.044051891
150	1.04300035
151	1.042243552
152	1.040652088
153	1.039698604
154	1.038802717
155	1.038120399
156	1.0369146
157	1.035745243
158	1.034705122
159	1.033469571
160	1.032360073
161	1.031401377
162	1.03055242
163	1.029557662
164	1.028381195
165	1.027270824
166	1.02638925
167	1.025553038
168	1.025458436
169	1.024810704
170	1.023925608
171	1.023075784
172	1.022450505
173	1.021527364
174	1.020712001
175	1.020220297
176	1.019555318
177	1.019071549
178	1.018524262
179	1.017675132
180	1.016879825
181	1.016334431
182	1.015197019
183	1.014299113
184	1.013089264
185	1.012271347
186	1.011777272
187	1.011280339
188	1.010513107
189	1.009815696
190	1.008802682
191	1.008304485
192	1.007709774
193	1.006618235
194	1.005876143
195	1.005103097
196	1.004416941
197	1.00401124
198	1.003343093
199	1.002309778
200	1.001781913
201	1.001196667
202	1.001101058
203	1.000220117
204	0.9990526651
205	0.9982861823
206	0.9974470704
207	0.9966706872
208	0.9958280165
209	0.995136463
210	0.9951139697
211	0.9946960348
212	0.9941922032
213	0.9934724574
214	0.993274668
215	0.9925752793
216	0.9917359202
217	0.9910777765
218	0.9902762167
